"","Bb","Bg","Ee","Ip","Pk"
"Bb",0,0.374174496403944,0.372599518548805,0.384869171677078,0.0624151457659689
"Bg",0.374174496403944,0,0.141565737823848,0.2778494132408,0.366683857190939
"Ee",0.372599518548805,0.141565737823848,0,0.266656748261497,0.365436664184533
"Ip",0.384869171677078,0.2778494132408,0.266656748261497,0,0.390512915519961
"Pk",0.0624151457659689,0.366683857190939,0.365436664184533,0.390512915519961,0
