match_name	cluster_ID	EO_mean	log2_EO_vs_muscle
dlx3b	1.0	12.466666666666667	-3.2086810449248047
pdlim5b	1.0	1744.8999999999999	-3.431327241522726
postnb	1.0	178.83333333333334	-3.527613967374113
CIDEC	1.0	20.733333333333334	-3.807986989993624
col10a1	1.0	33.56666666666667	-4.108100979878757
gls2	1.0	24.03333333333333	-4.132955742212083
kcnj11	1.0	136.13333333333335	-4.42574271883607
il11a	1.0	23.166666666666668	-4.612799877583501
he1b	1.0	11.233333333333334	-4.814776713447859
actn3b	1.0	200.6	-4.826220587721663
myh7bb	1.0	33.333333333333336	-4.851348793101411
myoz1a	1.0	459.9666666666667	-4.86164207146938
fhla	1.0	2566.6666666666665	-5.115468393151519
PALLD	1.0	108.36666666666667	-5.3930710179071415
smtnl1	1.0	17.433333333333334	-5.411936156705687
thbs4b	1.0	124.06666666666668	-5.977279923499916
agtpbp1	1.0	0.3666666666666667	-5.985633710829798
dapk2	1.0	16.833333333333332	-6.090117367593868
smyhc2	1.0	0.06666666666666667	-6.205182326228643
hhatlb	1.0	15.4	-6.292377752418536
myhb	1.0	14.566666666666668	-6.294168107808345
hspb1	1.0	1056.2666666666667	-6.346049585162638
trdn	1.0	574.5	-6.392284594542432
fbxo40	1.0	1.7333333333333334	-6.4586316768142575
cacng1	1.0	11.266666666666666	-6.470260980688903
casq1b	1.0	56.1	-6.487410657153414
kbtbd10b	1.0	472.46666666666664	-6.535320274627039
NTN5	1.0	1.5999999999999999	-6.602770230803683
ASB18	1.0	27.0	-6.691145283546729
col9a1	1.0	13.533333333333331	-6.726858707910584
C13H10orf71	1.0	0.8666666666666666	-6.754887502163468
asb10	1.0	29.23333333333333	-6.761631860849246
similar to uncharacterized protein LOC327541 [Danio rerio]	1.0	1.1666666666666667	-6.839882087823058
adssl1	1.0	138.13333333333333	-6.844720424371121
abrab	1.0	11.200000000000001	-6.878829844696768
dnajb5	1.0	0.5	-7.016436889810674
rnf207b	1.0	1.7000000000000002	-7.029747343394052
PROB1	1.0	11.0	-7.081616583314652
speg	1.0	0.0	-7.236492618381302
similar to hypothetical protein LOC100002633 [Danio rerio]	1.0	13.933333333333332	-7.295276966797364
prx	1.0	14.966666666666669	-7.361055496455224
KLHL33	1.0	1.4000000000000001	-7.41574176829009
myhc4	1.0	47.9	-7.463148224105316
jph1b	1.0	21.26666666666667	-7.527406769452662
apobec2a	1.0	11.733333333333334	-7.542626756576784
casq2	1.0	24.433333333333334	-7.550035662136156
tnnt1	1.0	202.20000000000002	-7.559467424107846
ryr1a	1.0	8.033333333333333	-7.655335984484073
ADAMTS16	1.0	0.7666666666666666	-7.672425341971495
xpa	1.0	3.233333333333333	-7.759927489964816
myom1a	1.0	31.633333333333336	-7.813525737406613
smyhc3	1.0	4.5	-7.826086196157939
actn2	1.0	11.133333333333333	-7.8579126582002505
six4b	1.0	26.366666666666664	-7.892164696792016
smpx	1.0	416.96666666666664	-8.050401149588552
xirp1	1.0	17.433333333333334	-8.081186044087643
arx	1.0	5.933333333333334	-8.158682505629807
pygma	1.0	180.4333333333333	-8.162933826503014
