match_name	cluster_ID	EO_mean	log2_EO_vs_muscle
mylpfa	1.0	387.8333333333333	-10.504976193016562
atp2a1	1.0	4.433333333333334	-10.40174986029869
MYL4	1.0	114.96666666666665	-10.397654036797453
tnnt2e	1.0	12.433333333333335	-10.269767667482604
pdlim3b	1.0	112.2	-9.900070713946294
MYO18B	1.0	48.56666666666667	-9.705483653637721
hspb9	1.0	91.33333333333333	-9.536076752642945
atp2a1l	1.0	450.03333333333336	-9.507531577547804
myoz2b	1.0	35.800000000000004	-9.383023349512658
ckbb	1.0	1.9666666666666668	-9.373671669981361
hspb7	1.0	21.433333333333334	-9.354011903840675
synpo2b	1.0	8.733333333333333	-9.225455071651346
lmod2b	1.0	27.900000000000002	-9.209166633035164
mylz3	1.0	1537.8999999999999	-9.208477861893362
acta1a	1.0	1788.7333333333333	-9.195553329640706
gyg2	1.0	18.0	-9.174649781090045
LRRC14B	1.0	68.46666666666667	-9.098136930580619
smyd1b	1.0	65.46666666666667	-9.095124520416093
ankrd1a	1.0	34.666666666666664	-9.084309202120341
tpm3	1.0	702.6333333333333	-9.081528632777827
mybpc1	1.0	210.16666666666666	-9.039010339782294
best2	1.0	15.4	-9.021301638354267
rpl3	1.0	411.43333333333334	-9.005219340410946
mybpc2b	1.0	8.333333333333334	-8.949472401537
myl10	1.0	1499.5999999999997	-8.885397145977608
osbpl1a	1.0	3.3333333333333335	-8.766860143829545
kbtbd12	1.0	9.066666666666668	-8.7414558248255
fhl2b	1.0	92.13333333333333	-8.726413227023617
desmb	1.0	343.3666666666666	-8.717159204574568
tnnc1b	1.0	153.3	-8.693636006741748
cacna1sb	1.0	9.266666666666667	-8.679297294761044
ckmt2	1.0	46.96666666666666	-8.62410638312744
murc	1.0	13.966666666666667	-8.596812321267905
cacna1sa	1.0	2.566666666666667	-8.569287785814167
ahsa1	1.0	4.533333333333334	-8.526204601120451
tpma	1.0	535.9333333333334	-8.509055365197133
asb2a	1.0	3.9333333333333336	-8.425867981679806
MYOM1	1.0	79.46666666666667	-8.39334157926348
asb12b	1.0	5.033333333333333	-8.380383329325674
DUSP27	1.0	19.2	-8.328763783747462
vmhcl	1.0	0.6666666666666666	-8.325080543554284
MYOM3	1.0	3.766666666666667	-8.300840515362822
pygma	1.0	180.4333333333333	-8.162933826503014
arx	1.0	5.933333333333334	-8.158682505629807
xirp1	1.0	17.433333333333334	-8.081186044087643
smpx	1.0	416.96666666666664	-8.050401149588552
six4b	1.0	26.366666666666664	-7.892164696792016
actn2	1.0	11.133333333333333	-7.8579126582002505
smyhc3	1.0	4.5	-7.826086196157939
myom1a	1.0	31.633333333333336	-7.813525737406613
xpa	1.0	3.233333333333333	-7.759927489964816
ADAMTS16	1.0	0.7666666666666666	-7.672425341971495
ryr1a	1.0	8.033333333333333	-7.655335984484073
tnnt1	1.0	202.20000000000002	-7.559467424107846
casq2	1.0	24.433333333333334	-7.550035662136156
apobec2a	1.0	11.733333333333334	-7.542626756576784
jph1b	1.0	21.26666666666667	-7.527406769452662
myhc4	1.0	47.9	-7.463148224105316
KLHL33	1.0	1.4000000000000001	-7.41574176829009
prx	1.0	14.966666666666669	-7.361055496455224
similar to hypothetical protein LOC100002633 [Danio rerio]	1.0	13.933333333333332	-7.295276966797364
speg	1.0	0.0	-7.236492618381302
PROB1	1.0	11.0	-7.081616583314652
rnf207b	1.0	1.7000000000000002	-7.029747343394052
dnajb5	1.0	0.5	-7.016436889810674
abrab	1.0	11.200000000000001	-6.878829844696768
adssl1	1.0	138.13333333333333	-6.844720424371121
similar to uncharacterized protein LOC327541 [Danio rerio]	1.0	1.1666666666666667	-6.839882087823058
asb10	1.0	29.23333333333333	-6.761631860849246
C13H10orf71	1.0	0.8666666666666666	-6.754887502163468
col9a1	1.0	13.533333333333331	-6.726858707910584
ASB18	1.0	27.0	-6.691145283546729
NTN5	1.0	1.5999999999999999	-6.602770230803683
kbtbd10b	1.0	472.46666666666664	-6.535320274627039
casq1b	1.0	56.1	-6.487410657153414
cacng1	1.0	11.266666666666666	-6.470260980688903
fbxo40	1.0	1.7333333333333334	-6.4586316768142575
trdn	1.0	574.5	-6.392284594542432
hspb1	1.0	1056.2666666666667	-6.346049585162638
myhb	1.0	14.566666666666668	-6.294168107808345
hhatlb	1.0	15.4	-6.292377752418536
smyhc2	1.0	0.06666666666666667	-6.205182326228643
dapk2	1.0	16.833333333333332	-6.090117367593868
agtpbp1	1.0	0.3666666666666667	-5.985633710829798
thbs4b	1.0	124.06666666666668	-5.977279923499916
smtnl1	1.0	17.433333333333334	-5.411936156705687
PALLD	1.0	108.36666666666667	-5.3930710179071415
fhla	1.0	2566.6666666666665	-5.115468393151519
myoz1a	1.0	459.9666666666667	-4.86164207146938
myh7bb	1.0	33.333333333333336	-4.851348793101411
actn3b	1.0	200.6	-4.826220587721663
he1b	1.0	11.233333333333334	-4.814776713447859
il11a	1.0	23.166666666666668	-4.612799877583501
kcnj11	1.0	136.13333333333335	-4.42574271883607
gls2	1.0	24.03333333333333	-4.132955742212083
col10a1	1.0	33.56666666666667	-4.108100979878757
CIDEC	1.0	20.733333333333334	-3.807986989993624
postnb	1.0	178.83333333333334	-3.527613967374113
pdlim5b	1.0	1744.8999999999999	-3.431327241522726
dlx3b	1.0	12.466666666666667	-3.2086810449248047
