seq_ID	annotation	annotation_type	SM	EO
Ev-group13574-comp4706_c0_seq1	WIZ (1 of 2)	blast	104.3	67.6
Ev-group13574-comp4710_c0_seq2	supt16h	blast	5810.3	3995.5
Ev-group13574-comp4715_c0_seq1	fgfr3	blast	118.9	475.3
Ev-group13574-comp4719_c0_seq1	GUSB (2 of 2)	blast	839.4	1237.0
Ev-group13574-comp4723_c0_seq18	rnf216	blast	395.4	493.4
Ev-group13574-comp4727_c0_seq3		blast	84.9	123.2
Ev-group13574-comp4732_c0_seq3	aldh9a1b	blast	329.9	186.7
Ev-group13574-comp4733_c0_seq9	fbxl2	blast	3039.8	1844.2
Ev-group13574-comp4739_c0_seq6		blast	262.0	210.6
Ev-group13574-comp4741_c0_seq1		blast	342.1	459.6
Ev-group13574-comp4746_c1_seq18		blast	172.2	302.1
Ev-group13574-comp4746_c1_seq2		blast	135.9	165.3
Ev-group13574-comp4746_c1_seq9		blast	70.4	135.2
Ev-group13574-comp4747_c0_seq4	arhgef12a	manual	337.2	2638.5
Ev-group13574-comp4748_c1_seq1	oaz2a	blast	3221.7	4396.1
Ev-group13574-comp4752_c0_seq18		blast	1329.5	686.3
Ev-group13574-comp4752_c0_seq19		blast	3374.6	2001.2
Ev-group13574-comp4752_c0_seq25	WDR26 (1 of 2)	blast	6642.4	2266.3
Ev-group13574-comp4752_c0_seq27	wdr26b	blast	6477.4	4652.1
Ev-group13574-comp4752_c1_seq1		blast	3364.9	788.5
Ev-group13574-comp4753_c0_seq1	tssc1	blast	191.7	284.8
Ev-group13574-comp4756_c0_seq14	hectd1	blast	4502.7	982.3
Ev-group13574-comp4756_c0_seq19		blast	4636.1	2011.9
Ev-group13574-comp4756_c0_seq2		blast	890.3	1261.7
Ev-group13574-comp4756_c0_seq28		blast	710.8	400.2
Ev-group13574-comp4756_c0_seq4		blast	6331.9	4808.7
Ev-group13574-comp4756_c0_seq7		blast	0.0	0.0
Ev-group13574-comp4756_c0_seq9		blast	6550.2	9716.8
Ev-group13574-comp4757_c0_seq3	btbd10b	blast	211.1	335.5
Ev-group13574-comp4758_c0_seq2	psen2	blast	7916.1	6202.8
Ev-group13574-comp4758_c0_seq8	psen1	blast	1011.6	739.5
Ev-group13574-comp4759_c0_seq12	PRKAG3 (1 of 2)	blast	104.3	275.8
Ev-group13574-comp4759_c0_seq18		blast	0.0	9.9
Ev-group13574-comp4760_c0_seq1	ptpn2b	blast	349.3	117.1
Ev-group13574-comp4760_c0_seq12		blast	228.0	295.1
Ev-group13574-comp4760_c0_seq2		blast	0.0	291.8
Ev-group13574-comp4760_c0_seq6		blast	0.0	0.0
Ev-group13574-comp4760_c0_seq9		blast	123.7	97.7
Ev-group13574-comp4766_c0_seq1	deptor	blast	1072.3	4254.3
Ev-group13574-comp4766_c1_seq3	map1lc3b	blast	6948.1	3315.3
Ev-group13574-comp4769_c0_seq6	lypla1	blast	412.4	227.9
Ev-group13574-comp4770_c0_seq1		blast	97.0	25.6
Ev-group13574-comp4770_c0_seq2		blast	0.0	47.0
Ev-group13574-comp4770_c0_seq4		blast	118.9	34.6
Ev-group13574-comp4770_c0_seq5		blast	36.4	10.3
Ev-group13574-comp4777_c0_seq12	abl2	blast	259.6	314.5
Ev-group13574-comp4777_c0_seq2		blast	0.0	206.5
Ev-group13574-comp4777_c0_seq3		blast	1378.0	1774.9
Ev-group13574-comp4777_c0_seq8		blast	162.5	75.8
Ev-group13574-comp4787_c0_seq1	anxa13	blast	4944.2	9855.7
Ev-group13574-comp4790_c0_seq8		blast	283.8	106.3
Ev-group13574-comp4792_c0_seq10	traf2b	blast	1404.7	1222.2
Ev-group13574-comp4792_c0_seq12		blast	1188.7	266.3
Ev-group13574-comp4792_c0_seq6	coq4	blast	303.3	100.2
Ev-group13574-comp4792_c0_seq7		blast	2641.9	1058.5
Ev-group13574-comp4796_c0_seq1	tenc1a	blast	9260.1	8374.3
Ev-group13574-comp4797_c0_seq1	si:dkey-98f17.5	blast	917.0	214.8
Ev-group13574-comp4799_c0_seq3	RSPH1	blast	172.2	158.7
Ev-group13574-comp4801_c1_seq1	RPS6KA6	blast	0.0	26.4
Ev-group13574-comp4801_c1_seq10		blast	296.0	199.9
Ev-group13574-comp4801_c1_seq14		blast	904.9	568.0
Ev-group13574-comp4801_c1_seq2	rps6ka1	blast	2130.0	1220.9
Ev-group13574-comp4801_c1_seq23		blast	157.7	118.7
Ev-group13574-comp4801_c1_seq4		blast	667.2	331.0
Ev-group13574-comp4801_c1_seq6		blast	46.1	388.3
Ev-group13574-comp4802_c0_seq4	si:ch211-117c9.5	blast	31.5	168.6
Ev-group13574-comp4802_c0_seq5		blast	17.0	10.7
Ev-group13574-comp4802_c0_seq7		blast	0.0	47.8
Ev-group13574-comp4805_c0_seq2	zeb1a	blast	128.6	55.6
Ev-group13574-comp4806_c0_seq6	fermt2	blast	5718.1	4419.6
Ev-group13574-comp4806_c0_seq9		blast	3503.2	1439.8
Ev-group13574-comp4807_c0_seq1		blast	43.7	213.5
Ev-group13574-comp4808_c0_seq1	MCC	blast	798.2	1251.0
Ev-group13574-comp4809_c0_seq1	MSS51	blast	5041.2	2142.6
Ev-group13574-comp4809_c0_seq4		blast	4446.9	676.4
Ev-group13574-comp4812_c0_seq1		blast	271.7	971.1
Ev-group13574-comp4812_c0_seq10		blast	14.6	54.0
Ev-group13574-comp4812_c0_seq4		blast	1026.2	655.0
Ev-group13574-comp4812_c0_seq7		blast	266.9	410.6
Ev-group13574-comp4813_c0_seq1	wisp1b	blast	431.8	2000.8
Ev-group13574-comp4816_c0_seq1		blast	19.4	34.6
Ev-group13574-comp4817_c0_seq1		blast	315.4	240.3
Ev-group13574-comp4817_c0_seq4	zgc:162576	blast	298.4	358.6
Ev-group13574-comp4818_c0_seq10	cpeb3	blast	3427.9	2720.5
Ev-group13574-comp4819_c0_seq6		blast	65.5	81.2
Ev-group13574-comp4824_c1_seq2		blast	2489.1	524.7
Ev-group13574-comp4825_c0_seq51		blast	1091.7	2070.9
Ev-group13574-comp4825_c0_seq57		blast	686.6	825.6
Ev-group13574-comp4825_c0_seq62	MICAL2 (2 of 2)	blast	3466.8	252.7
Ev-group13574-comp4825_c0_seq64		blast	715.7	509.1
Ev-group13574-comp4828_c0_seq1		blast	315.4	476.5
Ev-group13574-comp4830_c0_seq1	gnai1	blast	1031.1	394.5
Ev-group13574-comp4830_c0_seq2		blast	618.6	2090.3
Ev-group13574-comp4830_c0_seq4		blast	305.7	130.3
Ev-group13574-comp4830_c0_seq6	gnai2l	blast	473.1	705.3
Ev-group13574-comp4831_c0_seq2		blast	322.7	603.5
Ev-group13574-comp4833_c0_seq11		blast	99.5	301.7
Ev-group13574-comp4833_c0_seq2		blast	138.3	251.9
Ev-group13574-comp4833_c0_seq5		blast	194.1	458.4
Ev-group13574-comp4833_c0_seq6		blast	21.8	46.6
Ev-group13574-comp4834_c0_seq4		blast	135.9	358.2
Ev-group13574-comp4839_c0_seq12		blast	140.7	524.3
Ev-group13574-comp4839_c0_seq3		blast	373.6	756.4
Ev-group13574-comp4839_c0_seq9	EPS8	blast	0.0	27.6
Ev-group13574-comp4840_c0_seq1		blast	29357.1	112761.4
Ev-group13574-comp4840_c0_seq2		blast	9403.2	6142.2
Ev-group13574-comp4841_c0_seq1	kitb	blast	80.1	223.0
Ev-group13574-comp4842_c0_seq2	ABLIM2	blast	2261.0	162.8
Ev-group13574-comp4842_c0_seq4		blast	4563.3	414.3
Ev-group13574-comp4842_c0_seq5		blast	1673.9	67.2
Ev-group13574-comp4842_c0_seq6		blast	0.0	17.7
Ev-group13574-comp4842_c1_seq19		blast	926.7	708.2
Ev-group13574-comp4842_c1_seq23		blast	1186.3	4626.9
Ev-group13574-comp4842_c1_seq31		blast	0.0	0.0
Ev-group13574-comp4842_c1_seq32	ankrd28b	blast	1365.8	939.4
Ev-group13574-comp4843_c0_seq5	adcy3b	blast	427.0	442.3
Ev-group13574-comp4845_c1_seq11	ccnl1b	blast	3886.5	1845.8
Ev-group13574-comp4845_c1_seq13	ccnl1a	blast	747.2	527.6
Ev-group13574-comp4845_c1_seq4		blast	138.3	256.0
Ev-group13574-comp4851_c0_seq3		blast	286.3	147.2
Ev-group13574-comp4851_c0_seq5	ical1	blast	109.2	188.8
Ev-group13574-comp4852_c0_seq2	hinfp	blast	196.5	222.6
Ev-group13574-comp4854_c4_seq1	atf7b	blast	1865.6	787.7
Ev-group13574-comp4855_c2_seq2		blast	67.9	97.7
Ev-group13574-comp4856_c0_seq2		blast	1101.4	587.8
Ev-group13574-comp4857_c0_seq13	sidt2	blast	2542.5	840.9
Ev-group13574-comp4857_c0_seq7		blast	1232.4	935.3
Ev-group13574-comp4857_c0_seq9		blast	194.1	207.3
Ev-group13574-comp4859_c0_seq4	TNRC6C (1 of 3)	blast	308.1	504.5
Ev-group13574-comp4860_c1_seq31	lace1a	blast	817.6	678.5
Ev-group13574-comp4861_c1_seq17		blast	766.6	436.1
Ev-group13574-comp4861_c1_seq20		blast	198.9	49.1
Ev-group13574-comp4864_c0_seq27		blast	1458.0	750.6
Ev-group13574-comp4864_c0_seq33	mlh1	blast	841.8	692.5
Ev-group13574-comp4864_c0_seq34		blast	0.0	188.0
Ev-group13574-comp4864_c0_seq75		blast	0.0	9.1
Ev-group13574-comp4870_c0_seq1		blast	167.4	237.8
Ev-group13574-comp4873_c0_seq1	eftud2	blast	771.5	1421.3
Ev-group13574-comp4875_c1_seq1		blast	235.3	673.1
Ev-group13574-comp4875_c1_seq14		blast	2954.9	3795.1
Ev-group13574-comp4875_c1_seq18		blast	380.9	2172.3
Ev-group13574-comp4875_c1_seq3	tuba8l	blast	2040.3	3757.6
Ev-group13574-comp4875_c1_seq8	tuba8l4	blast	186.8	1118.7
Ev-group13574-comp4875_c1_seq9		blast	516.7	960.4
Ev-group13574-comp4876_c2_seq2		blast	3901.0	330.6
Ev-group13574-comp4876_c2_seq3		blast	1166.9	246.5
Ev-group13574-comp4876_c2_seq5	rp42-pen	blast	23816.1	1427.0
Ev-group13574-comp4878_c1_seq12		blast	441.5	21.4
Ev-group13574-comp4878_c1_seq4		blast	771.5	681.8
Ev-group13574-comp4878_c1_seq8		blast	2484.2	3755.6
Ev-group13574-comp4878_c1_seq9		blast	133.4	783.2
Ev-group13574-comp4880_c0_seq31		blast	264.4	1969.9
Ev-group13574-comp4881_c0_seq6	FGD5 (2 of 2)	blast	373.6	371.0
Ev-group13574-comp4881_c0_seq7		blast	279.0	436.9
Ev-group13574-comp4882_c0_seq2		blast	155.3	111.7
Ev-group13574-comp4886_c0_seq1	TXNDC11	blast	87.3	171.1
Ev-group13574-comp4887_c0_seq1		blast	247.5	100.2
Ev-group13574-comp4889_c0_seq1	hspb1	blast	511.9	80.0
Ev-group13574-comp4891_c0_seq2	TCF3 (1 of 2)	blast	936.4	1432.4
Ev-group13574-comp4891_c0_seq8	tcf12	blast	706.0	730.4
Ev-group13574-comp4893_c0_seq15	tceb3	blast	13964.1	233.7
Ev-group13574-comp4893_c0_seq9		blast	163335.8	2359.4
Ev-group13574-comp4895_c0_seq3	dcbld2	blast	145.6	224.2
Ev-group13574-comp4897_c0_seq30	rif1	blast	3520.1	4710.6
Ev-group13574-comp4898_c0_seq1	pld2	blast	655.0	514.8
Ev-group13574-comp4900_c0_seq1		blast	324866.6	68585.5
Ev-group13574-comp4901_c1_seq7	ints9	blast	109.2	320.7
Ev-group13574-comp4903_c0_seq11		blast	162.5	166.1
Ev-group13574-comp4903_c0_seq26		blast	524.0	554.8
Ev-group13574-comp4903_c0_seq31		blast	0.0	0.0
Ev-group13574-comp4904_c1_seq4		blast	579.8	624.5
Ev-group13574-comp4907_c0_seq23		blast	689.0	2917.6
Ev-group13574-comp4908_c0_seq12		blast	320.2	258.9
Ev-group13574-comp4908_c0_seq19		blast	9.7	59.8
Ev-group13574-comp4909_c0_seq1	CREBZF	blast	5735.1	920.0
Ev-group13574-comp4909_c0_seq12		blast	7117.9	5413.4
Ev-group13574-comp4909_c0_seq6		blast	2241.6	1305.4
Ev-group13574-comp4909_c0_seq8		blast	5223.2	2206.5
Ev-group13574-comp4910_c0_seq12	MTMR3 (1 of 2)	blast	1567.2	830.6
Ev-group13574-comp4910_c0_seq3		blast	2316.8	821.1
Ev-group13574-comp4911_c0_seq1		blast	182.0	13.2
Ev-group13574-comp4911_c0_seq2	MTMR4	blast	0.0	136.0
Ev-group13574-comp4915_c1_seq1		blast	1290.6	75.4
Ev-group13574-comp4915_c1_seq2		blast	1111.1	1086.1
Ev-group13574-comp4915_c2_seq2		blast	13867.1	29696.5
Ev-group13574-comp4917_c0_seq2	kita	blast	271.7	669.4
Ev-group13574-comp4917_c0_seq5		blast	19.4	3.7
Ev-group13574-comp4918_c0_seq5		blast	407.6	251.0
Ev-group13574-comp4918_c0_seq9		blast	2362.9	1524.7
Ev-group13574-comp4919_c0_seq88	dapk2	blast	2319.3	1018.5
Ev-group13574-comp4921_c1_seq102		blast	0.0	23.1
Ev-group13574-comp4921_c1_seq104		blast	1099.0	326.9
Ev-group13574-comp4921_c1_seq19		blast	13384.3	4655.4
Ev-group13574-comp4921_c1_seq72		blast	2911.2	1790.2
Ev-group13574-comp4921_c1_seq85		blast	3032.5	0.0
Ev-group13574-comp4921_c1_seq97	lrrfip2	blast	10621.1	3260.5
Ev-group13574-comp4924_c0_seq6		blast	317.8	506.2
Ev-group13574-comp4924_c1_seq6		blast	29.1	70.9
Ev-group13574-comp4928_c1_seq1	uros	blast	822.4	384.2
Ev-group13574-comp4929_c1_seq13	ube2f	blast	4505.1	2382.5
Ev-group13574-comp4935_c0_seq1		blast	140.7	109.6
Ev-group13574-comp4935_c0_seq2	aldh16a1	blast	363.9	388.7
Ev-group13574-comp4937_c0_seq2	zgc:110626	blast	230.5	390.8
Ev-group13574-comp4938_c0_seq13		blast	451.2	789.4
Ev-group13574-comp4938_c0_seq20		blast	31.5	26.8
Ev-group13574-comp4938_c0_seq5		blast	458.5	495.5
Ev-group13574-comp4939_c0_seq3	dcaf17	blast	577.4	500.4
Ev-group13574-comp4939_c0_seq35	mettl8	blast	21.8	12.4
Ev-group13574-comp4941_c0_seq1		blast	94.6	212.7
Ev-group13574-comp4943_c0_seq14		blast	41.2	0.0
Ev-group13574-comp4943_c0_seq146		blast	7867.5	4358.6
Ev-group13574-comp4943_c0_seq178		blast	7367.8	4819.4
Ev-group13574-comp4943_c0_seq21	chd2	blast	9262.5	2993.8
Ev-group13574-comp4943_c0_seq31		blast	533.7	322.3
Ev-group13574-comp4943_c0_seq58		blast	1399.8	1957.5
Ev-group13574-comp4943_c0_seq62		blast	1499.3	1182.2
Ev-group13574-comp4943_c0_seq7		blast	5448.8	0.0
Ev-group13574-comp4945_c0_seq3		blast	211.1	334.7
Ev-group13574-comp4946_c0_seq15	zgc:77828	blast	121.3	147.2
Ev-group13574-comp4946_c0_seq4	zgc:171740	blast	427.0	582.0
Ev-group13574-comp4948_c0_seq17		blast	133.4	166.9
Ev-group13574-comp4951_c0_seq23		blast	12510.9	2550.3
Ev-group13574-comp4951_c0_seq68		blast	6746.7	383.3
Ev-group13574-comp4951_c0_seq88	slc6a13l	blast	46.1	121.2
Ev-group13574-comp4952_c0_seq10	setd4	blast	473.1	164.9
Ev-group13574-comp4952_c0_seq6		blast	196.5	86.1
Ev-group13574-comp4955_c0_seq22		blast	305.7	230.4
Ev-group13574-comp4956_c0_seq1		blast	123.7	683.8
Ev-group13574-comp4957_c1_seq10		blast	732.7	24.7
Ev-group13574-comp4957_c1_seq35		blast	99.5	164.9
Ev-group13574-comp4957_c1_seq6		blast	1380.4	2732.1
Ev-group13574-comp4958_c0_seq1		blast	198.9	393.7
Ev-group13574-comp4959_c0_seq1		blast	266.9	358.2
Ev-group13574-comp4959_c0_seq4	zgc:114045	blast	9.7	12.8
Ev-group13574-comp4959_c0_seq6		blast	72.8	32.2
Ev-group13574-comp4961_c1_seq1		blast	451.2	474.4
Ev-group13574-comp4962_c0_seq1	lmnl3	blast	157.7	583.3
Ev-group13574-comp4964_c0_seq4	ttll1	blast	145.6	245.3
Ev-group13574-comp4965_c0_seq1		blast	106.7	73.4
Ev-group13574-comp4965_c0_seq2	CR391963.1	blast	846.7	201.6
Ev-group13574-comp4966_c0_seq2	tctn1	blast	67.9	94.0
Ev-group13574-comp4966_c0_seq4		blast	174.7	309.6
Ev-group13574-comp4970_c0_seq12		blast	274.1	169.0
Ev-group13574-comp4970_c0_seq14	ndst2a	blast	410.0	374.3
Ev-group13574-comp4970_c0_seq17		blast	271.7	43.3
Ev-group13574-comp4970_c0_seq24		blast	0.0	7.4
Ev-group13574-comp4970_c0_seq7	NDST2 (2 of 2)	blast	150.4	186.3
Ev-group13574-comp4972_c0_seq19		blast	0.0	0.0
Ev-group13574-comp4972_c0_seq3	BX323449.4	blast	135.9	362.7
Ev-group13574-comp4973_c0_seq3	SLC7A1 (2 of 2)	blast	955.8	549.1
Ev-group13574-comp4973_c0_seq5		blast	230.5	122.8
Ev-group13574-comp4973_c0_seq7		blast	0.0	58.1
Ev-group13574-comp4974_c0_seq4		blast	378.5	213.5
Ev-group13574-comp4975_c0_seq13	scap	blast	388.2	400.7
Ev-group13574-comp4976_c0_seq19	fzr1	blast	713.2	551.5
Ev-group13574-comp4978_c1_seq1		blast	72.8	156.6
Ev-group13574-comp4978_c1_seq19		blast	135.9	195.0
Ev-group13574-comp4978_c1_seq24		blast	84.9	50.7
Ev-group13574-comp4978_c1_seq3	stk24a	blast	463.4	326.9
Ev-group13574-comp4978_c1_seq7		blast	135.9	90.7
Ev-group13574-comp4981_c0_seq20		blast	3726.3	1850.0
Ev-group13574-comp4982_c0_seq1	ift172	blast	245.0	303.4
Ev-group13574-comp4983_c0_seq4	bap1	blast	351.8	336.4
Ev-group13574-comp4985_c0_seq1		blast	143.1	246.5
Ev-group13574-comp4987_c0_seq1	rpl32	blast	126783.1	64103.7
Ev-group13574-comp4988_c0_seq3		blast	531.3	131.1
Ev-group13574-comp4989_c0_seq3	RAP1GDS1	blast	257.2	490.5
Ev-group13574-comp4991_c0_seq1	adcy5	blast	388.2	725.5
Ev-group13574-comp4991_c0_seq13		blast	31.5	204.9
Ev-group13574-comp4991_c0_seq19	adcy6b	blast	293.5	505.4
Ev-group13574-comp4991_c0_seq23	adcy7	blast	198.9	1155.0
Ev-group13574-comp4991_c0_seq87		blast	55.8	143.9
Ev-group13574-comp4992_c0_seq21		blast	499.8	2605.1
Ev-group13574-comp4992_c0_seq35		blast	206.2	302.1
Ev-group13574-comp4992_c0_seq41	GPR112 (1 of 2)	blast	504.6	1692.1
Ev-group13574-comp4992_c0_seq5	gpr126	blast	1700.6	3988.4
Ev-group13574-comp4993_c0_seq6	snx15	blast	359.0	597.7
Ev-group13574-comp4994_c0_seq14		blast	30228.0	24804.1
Ev-group13574-comp4996_c0_seq12	smg1	blast	931.6	1381.3
Ev-group13574-comp4997_c1_seq2	twist1b	blast	133.4	188.4
Ev-group13574-comp4998_c0_seq17	igf1ra	blast	555.6	582.9
Ev-group13574-comp4998_c0_seq20		blast	63.1	208.6
Ev-group13574-comp4998_c0_seq9	fgfr4	blast	1069.9	1464.1
Ev-group13574-comp4999_c0_seq2		blast	128.6	120.8
Ev-group13574-comp5001_c0_seq5		blast	143.1	345.8
Ev-group13574-comp5001_c0_seq7	KIF13A	blast	184.4	488.9
Ev-group13574-comp5005_c0_seq1	TEP1	blast	291.1	236.2
Ev-group13574-comp5008_c0_seq3		blast	90431.8	5160.3
Ev-group13574-comp5008_c0_seq6		blast	95133.4	5017.7
Ev-group13574-comp5008_c0_seq8		blast	92935.5	5.4
Ev-group13574-comp5009_c0_seq5	psme4a	blast	111533.2	1485.6
Ev-group13574-comp5009_c0_seq62		blast	27586.1	7190.8
Ev-group13574-comp5009_c1_seq1		blast	1487.1	342.1
Ev-group13574-comp5011_c0_seq1	BX005421.6	blast	8626.9	47175.0
Ev-group13574-comp5011_c0_seq2	BX324215.1	blast	11210.6	31048.1
Ev-group13574-comp5012_c1_seq13	rpz5	blast	2996.1	2033.0
Ev-group13574-comp5012_c1_seq4	rpz4	blast	3253.3	2251.8
Ev-group13574-comp5014_c0_seq101	CU467854.1	blast	378.5	303.8
Ev-group13574-comp5014_c0_seq18		blast	514.3	380.9
Ev-group13574-comp5014_c0_seq20		blast	0.0	0.0
Ev-group13574-comp5014_c0_seq24		blast	473.1	76.3
Ev-group13574-comp5014_c0_seq47	IPO13 (2 of 2)	blast	1877.7	1981.0
Ev-group13574-comp5014_c0_seq96		blast	485.2	223.8
Ev-group13574-comp5016_c0_seq23		blast	0.0	0.0
Ev-group13574-comp5016_c0_seq9		blast	1804.9	1747.7
Ev-group13574-comp5017_c1_seq15	kif13ba	blast	395.4	338.4
Ev-group13574-comp5018_c0_seq34	puf60a	blast	109.2	79.1
Ev-group13574-comp5018_c0_seq39		blast	444.0	423.7
Ev-group13574-comp5018_c0_seq53		blast	339.6	200.3
Ev-group13574-comp5018_c0_seq66		blast	225.6	446.4
Ev-group13574-comp5018_c0_seq74	puf60b	blast	511.9	676.0
Ev-group13574-comp5018_c0_seq87		blast	0.0	48.6
Ev-group13574-comp5018_c0_seq9		blast	305.7	361.5
Ev-group13574-comp5020_c0_seq4		blast	1812.2	7249.8
Ev-group13574-comp5020_c2_seq105		blast	0.0	0.0
Ev-group13574-comp5020_c2_seq110		blast	6217.9	6363.5
Ev-group13574-comp5020_c2_seq113		blast	0.0	0.0
Ev-group13574-comp5020_c2_seq114		blast	17.0	9.5
Ev-group13574-comp5020_c2_seq115		blast	0.0	809.1
Ev-group13574-comp5020_c2_seq118		blast	17181.0	6814.9
Ev-group13574-comp5020_c2_seq15		blast	1387.7	12983.5
Ev-group13574-comp5020_c2_seq25		blast	33692.4	10495.8
Ev-group13574-comp5020_c2_seq26		blast	10538.6	6827.7
Ev-group13574-comp5020_c2_seq58		blast	0.0	0.0
Ev-group13574-comp5020_c2_seq75		blast	0.0	0.0
Ev-group13574-comp5020_c2_seq83		blast	480.3	7302.1
Ev-group13574-comp5020_c2_seq88		blast	31465.3	16637.6
Ev-group13574-comp5020_c2_seq89		blast	13697.2	9107.1
Ev-group13574-comp5020_c2_seq91		blast	18935.0	331.4
Ev-group13574-comp5020_c2_seq93		blast	12.1	0.0
Ev-group13574-comp5023_c1_seq4		blast	4476.0	3805.0
Ev-group13574-comp5027_c0_seq6		blast	1048.0	371.8
Ev-group13574-comp5028_c2_seq1		blast	638.0	729.2
Ev-group13574-comp5030_c0_seq11		blast	36.4	173.1
Ev-group13574-comp5030_c0_seq29		blast	97.0	52.3
Ev-group13574-comp5030_c0_seq49	si:ch211-198n5.11	blast	21.8	0.0
Ev-group13574-comp5030_c0_seq55		blast	31.5	23.5
Ev-group13574-comp5030_c0_seq67		blast	43.7	58.5
Ev-group13574-comp5030_c0_seq70	CR774184.1	blast	361.5	435.3
Ev-group13574-comp5034_c0_seq108		blast	0.0	3328.5
Ev-group13574-comp5034_c0_seq17		blast	40048.5	1021.8
Ev-group13574-comp5034_c0_seq27	lpin1	blast	14308.6	2687.1
Ev-group13574-comp5034_c0_seq3		blast	33896.2	1972.8
Ev-group13574-comp5036_c0_seq2		blast	997.1	0.0
Ev-group13574-comp5036_c0_seq8	birc2	blast	5320.2	4403.5
Ev-group13574-comp5036_c0_seq9		blast	4277.1	3265.4
Ev-group13574-comp5040_c0_seq20		blast	2113.1	1505.4
Ev-group13574-comp5041_c0_seq1	si:dkey-13n15.11	blast	4148.5	4260.5
Ev-group13574-comp5044_c2_seq10	cln5	blast	4638.5	1905.2
Ev-group13574-comp5045_c0_seq11	abca1b	blast	19192.1	17393.6
Ev-group13574-comp5046_c0_seq10		blast	6516.3	2209.4
Ev-group13574-comp5046_c0_seq5	BX548047.2	blast	4497.8	5035.8
Ev-group13574-comp5047_c0_seq1		blast	482.8	432.8
Ev-group13574-comp5053_c1_seq2	URGCP (1 of 3)	blast	19216.4	19710.6
Ev-group13574-comp5057_c2_seq1	nrm	blast	356.6	219.3
Ev-group13574-comp5057_c3_seq3		blast	19427.5	6666.1
Ev-group13574-comp5057_c3_seq4		blast	793.3	1901.5
Ev-group13574-comp5058_c0_seq10		blast	1382.8	1186.3
Ev-group13574-comp5058_c0_seq20		blast	1137.8	433.6
Ev-group13574-comp5060_c0_seq1		blast	254.7	225.9
Ev-group13574-comp5060_c1_seq1	PALLD	blast	329.9	66.8
Ev-group13574-comp5061_c1_seq17		blast	3964.1	2574.6
Ev-group13574-comp5061_c1_seq7	tie1	blast	5065.5	5592.7
Ev-group13574-comp5063_c1_seq2		blast	9097.5	4711.0
Ev-group13574-comp5063_c1_seq5	ftr22	blast	999.5	1350.4
Ev-group13574-comp5065_c1_seq8	MAP4 (3 of 3)	blast	4488.1	1427.4
Ev-group13574-comp5066_c2_seq2		blast	242.6	151.7
Ev-group13574-comp5066_c2_seq3	ky	blast	58.2	20.6
Ev-group13574-comp5066_c3_seq2	mecp2	blast	761.8	282.8
Ev-group13574-comp5067_c1_seq1	zgc:86725	blast	3051856.1	17011.9
Ev-group13574-comp5067_c1_seq5		blast	210363.9	7058.9
Ev-group13574-comp5069_c0_seq1		blast	5485.2	8557.3
Ev-group13574-comp5069_c0_seq12		blast	257.2	245.3
Ev-group13574-comp5069_c0_seq2		blast	3867.1	2880.0
Ev-group13574-comp5070_c1_seq4		blast	5912.2	8356.5
Ev-group13574-comp5072_c0_seq6		blast	7974.3	7678.9
Ev-group13574-comp5073_c0_seq1	tuba8l2	blast	77013.6	21014.8
Ev-group13574-comp5074_c0_seq1	rpl21	blast	15094.6	9403.1
Ev-group13574-comp5077_c0_seq1	MDH2	blast	43743.3	7176.8
Ev-group13574-comp5080_c0_seq1	SERBP1 (3 of 3)	blast	12523.0	6536.7
Ev-group13574-comp5085_c0_seq1	hapln1a	blast	55094.6	7714.3
Ev-group13574-comp5086_c0_seq1		blast	5577.4	5115.8
Ev-group13574-comp5097_c0_seq1		blast	3284.8	2920.4
Ev-group13574-comp5119_c0_seq1	magt1	blast	7040.3	2256.4
Ev-group13574-comp5135_c0_seq1	AIFM2	blast	11193.6	988.9
Ev-group13574-comp5194_c0_seq1		blast	977.7	1643.0
Ev-group13574-comp5267_c0_seq1		blast	1300.3	784.0
Ev-group13574-comp5410_c0_seq1		blast	926.7	560.2
Ev-group13574-comp5579_c0_seq1		blast	72.8	180.1
Ev-group13574-comp5700_c0_seq1	scara5	blast	245.0	292.7
Ev-group13574-comp5960_c0_seq1		blast	298.4	281.1
Ev-group13574-comp6114_c0_seq1		blast	257.2	63.9
Ev-group13574-comp6235_c0_seq1		blast	111.6	172.7
Ev-group13574-comp6743_c0_seq1		blast	126.2	111.3
Ev-group13574-comp744_c0_seq1		blast	3343.0	1188.0
Ev-group13574-comp765_c0_seq1	chn1	blast	65.5	239.9
Ev-group13577-comp1_c0_seq1	nadl1.2	blast	19.4	45.8
Ev-group1358-comp1_c0_seq1	dse	blast	468.2	845.4
Ev-group13583-comp0_c0_seq2		blast	32003.9	3572.5
Ev-group13584-comp20_c0_seq10		blast	237.7	293.5
Ev-group13584-comp20_c0_seq13	smg7	blast	230.5	371.0
Ev-group13584-comp21_c0_seq7		blast	116.4	159.5
Ev-group135840-comp0_c0_seq1		blast	143.1	229.2
Ev-group13589-comp0_c0_seq1	sult1st3	blast	249.9	313.3
Ev-group1359-comp1_c0_seq15	dhx9	blast	465.8	646.7
Ev-group1359-comp2_c0_seq22		blast	773.9	1297.2
Ev-group13592-comp20_c0_seq1		blast	2093.6	1124.5
Ev-group13592-comp90_c0_seq1		blast	255286.3	4686.3
Ev-group13594-comp2_c0_seq1	tmem39a	blast	313.0	288.1
