seq_ID	annotation	annotation_type	SM	EO
Ev-comp109999_c0_seq1	ric8a	blast	4.9	3.7
Ev-comp1100507_c0_seq1		blast	0.0	4.5
Ev-comp1100543_c0_seq1		blast	0.0	2.1
Ev-comp1101082_c0_seq1	CABZ01074899.1	blast	0.0	2.9
Ev-comp1101342_c0_seq1		blast	0.0	2.5
Ev-comp1101614_c0_seq1		blast	2.4	1.2
Ev-comp1101649_c0_seq1		blast	0.0	3.3
Ev-comp110221_c0_seq1		blast	4.9	11.5
Ev-comp1103748_c0_seq1		blast	0.0	28.4
Ev-comp1104038_c0_seq1		blast	2.4	6.2
Ev-comp1104971_c0_seq1		blast	2.4	4.9
Ev-comp1105083_c0_seq1	abo	blast	2.4	3.3
Ev-comp1106601_c0_seq1	C14H5orf45	blast	0.0	2.9
Ev-comp1109122_c0_seq1	cacna1f	blast	0.0	5.8
Ev-comp1109352_c0_seq1		blast	72.8	14.0
Ev-comp1109454_c0_seq1		blast	9.7	0.0
Ev-comp1109805_c0_seq1		blast	0.0	2.5
Ev-comp1110493_c0_seq1		blast	2.4	7.8
Ev-comp111175_c0_seq1		blast	7.3	4.1
Ev-comp111276_c0_seq1		blast	17.0	12.0
Ev-comp1114511_c0_seq1	ube2t	blast	0.0	1.6
Ev-comp111469_c0_seq2	CCDC86	blast	111.6	12.8
Ev-comp111490_c0_seq2		blast	34.0	43.7
Ev-comp1118889_c0_seq1		blast	0.0	1.2
Ev-comp1119087_c0_seq1		blast	0.0	2.9
Ev-comp1119860_c0_seq1	rab42b	blast	2.4	4.1
Ev-comp112060_c0_seq1		blast	0.0	2.1
Ev-comp112120_c0_seq1		blast	14.6	4.5
Ev-comp1121708_c0_seq1		blast	36.4	0.4
Ev-comp1125049_c0_seq1		blast	4.9	3.7
Ev-comp112683_c0_seq1		blast	0.0	4.5
Ev-comp1128203_c0_seq1		blast	0.0	3.3
Ev-comp113032_c0_seq1		blast	0.0	1.2
Ev-comp113095_c0_seq1	CNGB1 (2 of 2)	blast	9.7	2.1
Ev-comp1133061_c0_seq1		blast	4.9	18.1
Ev-comp1133232_c0_seq1	hipk2	blast	0.0	3.7
Ev-comp1133741_c0_seq1	ZNF608	blast	4.9	2.9
Ev-comp1133743_c0_seq1		blast	0.0	7.4
Ev-comp1134119_c0_seq1	RNF224	blast	0.0	4.5
Ev-comp1134974_c0_seq1		blast	24.3	24.3
Ev-comp113611_c0_seq1		blast	2.4	2.9
Ev-comp1136659_c0_seq1	tctex1d1	blast	0.0	4.5
Ev-comp1138203_c0_seq1		blast	0.0	6.6
Ev-comp1138738_c0_seq1		blast	7.3	4.1
Ev-comp1140309_c0_seq1		blast	4.9	4.1
Ev-comp1143561_c0_seq1	esrp1	blast	4.9	2.1
Ev-comp1144128_c0_seq1		blast	0.0	3.7
Ev-comp114770_c0_seq1		blast	9.7	5.8
Ev-comp1147819_c0_seq1		blast	38.8	3.7
Ev-comp1148772_c0_seq1		blast	9.7	8.7
Ev-comp114928_c0_seq1	si:dkey-157l19.2	blast	63.1	40.8
Ev-comp115378_c0_seq1		blast	4.9	7.8
Ev-comp115579_c0_seq1		blast	293.5	1.2
Ev-comp115582_c0_seq1		blast	63.1	51.1
Ev-comp1162136_c0_seq1	IL12B (2 of 3)	blast	0.0	1.6
Ev-comp1163197_c0_seq1	psat1	blast	2.4	9.5
Ev-comp1163777_c0_seq1		blast	0.0	3.3
Ev-comp1165102_c0_seq1	mblac2	blast	9.7	2.5
Ev-comp116520_c1_seq1		blast	0.0	2.1
Ev-comp1165559_c0_seq1		blast	0.0	4.1
Ev-comp1168494_c0_seq1		blast	0.0	4.1
Ev-comp116946_c0_seq1	CCDC89	blast	0.0	3.7
Ev-comp117041_c0_seq1		blast	19.4	8.2
