group_ID	annotation	annotation_type	EO	SM
comp44293_c0		blast	14.4	26.25
comp44315_c0	CT573494.2	blast	15.47	0.0
comp44329_c0	npas2	blast	20.27	41.25
comp44335_c0		blast	11.73	5.63
comp44347_c0	obfc1	blast	179.19	405.03
comp44362_c0		blast	27.73	0.0
comp44366_c0		blast	9.6	13.13
comp44368_c0		blast	19.73	5.63
comp44371_c0		blast	14.93	18.75
comp44372_c0	rhcga	blast	16.0	3.75
comp44377_c0		blast	12.8	13.13
comp443785_c0		blast	10.67	24.38
comp44391_c0		blast	12.8	9.38
comp44392_c0	terf1	blast	168.52	140.64
comp44393_c0	PAOX	blast	20.8	45.0
comp44395_c0	BX004830.1	blast	14.4	30.0
comp443974_c0		blast	13.87	7.5
comp44411_c0		blast	20.8	5.63
comp44413_c0	pih1d1	blast	146.12	204.39
comp44415_c0		blast	8.0	15.0
comp44416_c1	MRPS21	blast	349.31	163.14
comp44417_c1		blast	916.73	1460.73
comp44417_c2	COL5A2 (1 of 2)	blast	1788.14	2604.56
comp44417_c3		blast	71.99	142.51
comp44419_c0	pus7	blast	163.72	127.51
comp44422_c0	coa3	blast	795.68	547.54
comp44427_c1	UBL7 (1 of 2)	blast	54.4	73.13
comp44432_c0	C17H10orf137	blast	152.52	225.02
comp44433_c0	chchd2	blast	845.81	609.42
comp44434_c0	hrsp12	blast	97.59	99.38
comp44437_c0	eif4eb	blast	537.03	1091.33
comp44437_c1		blast	247.98	320.65
comp44445_c0	cxcr3.2	blast	8.53	16.88
comp44446_c1		blast	361.57	144.39
comp44449_c0	mrps6	blast	48.0	71.26
comp44450_c0	pnpla4	blast	16.53	20.63
comp44452_c0		blast	7.47	33.75
comp444538_c0		blast	11.73	1.88
comp44454_c0	PDCL3	blast	881.54	3725.89
comp44459_c0		blast	43.73	24.38
comp44460_c0	slc38a3	blast	3199.24	3637.76
comp44461_c0	psmb10	blast	194.12	526.91
comp44463_c0		blast	0.53	93.76
comp44464_c0	nrip2	blast	17.6	16.88
comp44464_c1		blast	22.4	24.38
comp44467_c0	sra1	blast	136.52	75.01
comp44468_c0	TMEM220	blast	79.46	103.13
comp44469_c0		blast	46.93	31.88
comp44472_c0		blast	125.32	88.13
comp44476_c0		blast	1140.18	423.78
comp44477_c0		blast	100.26	71.26
comp44477_c1	hmgb2a	blast	558.36	637.55
comp44482_c0	ptp4a2	blast	318.91	759.43
comp44484_c0		blast	9.07	16.88
comp44485_c0	arhgef7a	blast	13.33	26.25
comp44486_c0	orc6	blast	12.27	26.25
comp44487_c0		blast	1539.09	733.18
comp44490_c0	myoc	blast	51.73	461.28
comp44493_c0		blast	43.2	0.0
comp44498_c0	tpp1	blast	249.05	251.27
comp44501_c0	CABZ01041769.1	blast	10.13	5.63
comp44502_c0	aqp11	blast	17.6	61.88
comp44503_c1	pigp	blast	155.72	232.52
comp44504_c0		blast	16.53	3.75
comp44507_c0		blast	15.47	13.13
comp445118_c0		blast	10.67	1.88
comp44512_c1		blast	38.4	61.88
comp44515_c0	TNIP2	blast	18.13	58.13
comp445151_c0		blast	12.8	3.75
comp44519_c0	dkk3b	blast	51.2	110.63
comp44521_c0	gng5	blast	197.85	193.14
comp44521_c2	ndrg3b	blast	2091.05	676.92
comp44529_c0	cnpy1	blast	48.0	80.63
comp44531_c0		blast	12.27	1.88
comp44534_c0	KANK1	blast	2973.12	1335.1
comp44536_c0	NFASC (2 of 2)	blast	6.4	24.38
comp44536_c2		blast	16.0	31.88
comp44538_c2	gabbr1a	blast	11.73	16.88
comp44543_c0		blast	5.87	26.25
comp44544_c0	zgc:195001	blast	509.83	118.13
comp44545_c0		blast	223.98	425.66
comp44545_c1	fam133b	blast	383.44	166.89
comp44549_c1		blast	12.8	7.5
comp44551_c1	scamp5	blast	5.87	30.0
comp44552_c0	AP2A2	blast	351.97	333.77
comp44553_c0	timp2a	blast	3460.55	1374.47
comp44554_c0	cd99l2	blast	5131.9	1203.84
comp44555_c0	TRMT10A	blast	119.99	93.76
comp44557_c0	bysl	blast	154.12	234.39
comp44559_c0		blast	819.67	798.81
comp44560_c0	si:dkey-162b23.4	blast	24.53	35.63
comp44561_c0	rnf114	blast	162.12	440.66
comp44563_c1	usp39	blast	103.99	249.39
comp44567_c0		blast	91.19	63.75
comp44575_c0		blast	0.53	45.0
comp44576_c0		blast	478.9	129.38
comp44584_c0	vstm2l	blast	11.2	1.88
comp44585_c3		blast	42.13	50.63
comp44587_c1	si:dkey-71l1.7	blast	81.06	324.4
comp44590_c0		blast	13.87	22.5
comp44593_c0	CABZ01070258.1	blast	16.0	15.0
comp44596_c1		blast	147.19	391.9
comp44596_c2	insig1	blast	90.66	637.55
comp44597_c1	arfrp1	blast	159.46	271.89
comp44598_c0		blast	1412.17	476.28
comp44598_c1	spry4	blast	129.59	50.63
comp44599_c0		blast	19.73	7.5
comp44600_c0	SLC16A3 (1 of 2)	blast	5.87	1198.21
comp44602_c0		blast	15.47	1.88
comp44604_c0	C8H22orf39	blast	78.93	217.52
comp44606_c0	CDS1	blast	78.39	35.63
comp44609_c0	dars	blast	743.41	855.06
comp44609_c1		blast	183.45	73.13
comp44613_c0	mcm7	blast	100.79	148.14
comp44614_c0	DPEP2	blast	134.39	84.38
comp44615_c0		blast	461.83	213.77
comp44618_c0	fam98b	blast	413.84	356.28
comp44620_c0	alg10	blast	143.99	157.51
comp44626_c1		blast	10.13	13.13
comp44627_c0		blast	13.87	11.25
comp44634_c1		blast	10.13	3.75
comp44635_c0		blast	10.13	16.88
comp44645_c0	ap1s1	blast	262.38	260.64
comp44648_c0	mif	blast	1110.85	496.91
comp44652_c0	TMEM138	blast	11.2	5.63
comp44655_c0		blast	21.33	9.38
comp44655_c2		blast	48.53	22.5
comp44659_c0	fam195b	blast	79.99	60.0
comp44659_c1	ppp1r27	blast	911.4	86.26
comp44662_c0	org	blast	1.07	39.38
comp44663_c1		blast	53.86	84.38
comp44669_c0		blast	111.46	446.28
comp44669_c1		blast	78.93	605.67
comp44674_c0	C4A	blast	3282.96	2462.05
comp44675_c0		blast	62.93	33.75
comp44675_c1	lzic	blast	115.19	121.88
comp44676_c0		blast	66.66	45.0
comp44676_c1		blast	9.6	9.38
comp44677_c0	C8H1orf228	blast	6.4	46.88
comp44679_c0	jak1	blast	145.06	97.51
comp44680_c0		blast	11.2	15.0
comp44681_c0		blast	57.06	73.13
comp44681_c1		blast	17.6	61.88
comp44683_c0	grhprb	blast	605.82	1053.83
comp44686_c0	brwd1	blast	16.53	37.5
comp44688_c0		blast	23.46	15.0
comp44689_c1		blast	13.33	5.63
comp44689_c2		blast	247.45	251.27
comp44689_c3	CDC37	blast	718.88	684.42
comp44691_c0	mrpl39	blast	61.86	61.88
comp44694_c0		blast	13.87	1.88
comp44698_c2		blast	11.73	30.0
comp44699_c0	MAP7D3	blast	221.85	69.38
comp44700_c1		blast	44.8	37.5
comp44703_c0		blast	12.8	3.75
comp44704_c1	HIP1R (2 of 2)	blast	14.4	35.63
comp44705_c0	fbxl5	blast	246.92	180.01
comp44706_c0	rpz2	blast	218.65	211.89
comp44714_c0		blast	0.0	275.64
comp44715_c0	apoc1l	blast	0.0	48.75
comp44718_c0	C5H22orf25	blast	163.72	210.02
comp44721_c0	C10H5orf44	blast	100.79	84.38
comp44722_c1		blast	35.73	46.88
comp44723_c0	CNOT2	blast	190.92	322.52
comp44724_c0		blast	342.91	153.76
comp44725_c0	arhgap12b	blast	644.75	830.68
comp44726_c0		blast	9.6	5.63
comp44729_c0		blast	1252.71	191.26
comp44729_c1		blast	31.46	1.88
comp44730_c0	ak5	blast	214.38	73.13
comp44735_c0	nt5dc2	blast	1153.52	195.01
comp44736_c0	esyt3	blast	29.86	5.63
comp44738_c0	PIGB	blast	115.19	129.38
comp44740_c0	DCUN1D3	blast	124.79	61.88
comp44741_c0	derl2	blast	113.59	80.63
comp44742_c0	cab39l	blast	207.45	166.89
comp44749_c1	taf3	blast	215.98	210.02
comp44750_c1	tyw3	blast	29.86	165.01
comp44751_c1		blast	9.6	30.0
comp44754_c0	pter	blast	158.92	481.91
comp44755_c0	myod1	blast	377.57	810.06
comp44755_c1		blast	81.06	75.01
comp44758_c0		blast	9.07	15.0
comp44762_c0	gbas	blast	1120.45	2023.27
comp44766_c0	arl3	blast	163.19	112.51
comp44770_c0		blast	13.87	15.0
comp447717_c0		blast	12.8	5.63
comp44775_c0	rilpl1	blast	796.74	3155.85
comp44777_c0		blast	10.13	20.63
comp44780_c0	OARD1	blast	562.63	238.14
comp44782_c0	pink1	blast	563.69	455.66
comp44784_c0		blast	213.85	136.88
comp44791_c0	btg1	blast	5.33	37.5
comp44794_c0	SLC24A2 (1 of 2)	blast	1143.38	105.01
comp44795_c0	wdr90	blast	12.8	3.75
comp44797_c1	tmem19	blast	148.26	230.64
comp447982_c0		blast	8.53	22.5
comp44799_c0	bet1l	blast	92.79	123.76
comp44801_c0	NEURL2	blast	1282.57	1982.02
comp44802_c1		blast	10.13	20.63
comp44804_c0	rab40b	blast	122.66	69.38
comp44811_c1	GTSE1	blast	116.79	159.39
comp44814_c1		blast	9.6	37.5
comp44814_c2		blast	0.53	67.5
comp44815_c0		blast	71.46	1.88
comp44816_c0		blast	713.02	3183.98
comp44816_c1		blast	11.73	1.88
comp44818_c0	etfa	blast	1040.99	1541.36
comp44819_c0	zc3h10	blast	119.46	150.01
comp44820_c0		blast	23.46	11.25
comp44820_c1		blast	58.13	33.75
comp44820_c2	ywhae1	blast	533.83	830.68
comp44825_c0	plcb3	blast	27.2	78.76
comp44827_c0	uso1	blast	670.35	673.17
comp44829_c0	sdhb	blast	912.47	1837.63
comp44829_c1		blast	113.59	138.76
comp44831_c0		blast	12.8	37.5
comp44835_c1	dlx3b	blast	17.6	1.88
comp44836_c0	gtpbp10	blast	102.93	138.76
comp44840_c0	arfgap3	blast	274.65	181.89
comp44844_c0		blast	22.93	13.13
comp44844_c1	runx2a	blast	10.13	3.75
comp44846_c0		blast	11.2	20.63
comp44848_c0	tmf1	blast	177.05	166.89
comp44848_c1		blast	28.26	15.0
comp44850_c0	actr8	blast	141.86	95.63
comp44853_c0		blast	291.18	202.51
comp44854_c0		blast	19.73	26.25
comp44855_c0	mak16	blast	86.93	208.14
comp44864_c0	elp3	blast	281.05	255.02
comp44865_c1		blast	14.93	26.25
comp44871_c0		blast	34.13	3.75
comp44871_c1	frmd3	blast	23.46	1.88
comp44872_c0	pccb	blast	1055.92	699.43
comp44874_c0		blast	9.6	9.38
comp44875_c0		blast	16.53	13.13
comp44877_c0		blast	2394.5	601.92
comp44884_c1	dgcr2	blast	800.48	620.67
comp44884_c2		blast	17.6	18.75
comp44884_c3		blast	145.06	45.0
comp44885_c0		blast	38.4	33.75
comp44886_c0		blast	1100.19	551.29
comp44887_c0		blast	268.78	7.5
comp44888_c0	ppp1r14ab	blast	3.2	41.25
comp44889_c0	histh1l	blast	930.07	937.57
comp44890_c0	CMTM8 (1 of 2)	blast	10.13	3.75
comp44895_c0	ccdc75	blast	674.09	1046.32
comp44896_c0	ADAMTS16	blast	40.53	48.75
comp44898_c1		blast	14.4	18.75
comp44899_c0		blast	25.6	24.38
comp44902_c0	psmb2	blast	535.43	963.82
comp44903_c0	rab2a	blast	1071.92	988.2
comp44906_c0	acsl3b	blast	1046.32	256.89
comp44907_c0	eif3g	blast	4224.23	1755.13
comp44909_c0		blast	20.8	9.38
comp44909_c2		blast	172.25	112.51
comp44910_c0	lrpprc	blast	254.92	307.52
comp44911_c0	wwp2	blast	365.84	151.89
comp44912_c0		blast	0.0	56.25
comp44912_c1		blast	0.0	39.38
comp44914_c0		blast	11.2	3.75
comp44915_c0	tuba8l2	blast	7426.13	22497.86
comp44923_c0		blast	12.27	11.25
comp44927_c1		blast	16.53	3.75
comp44930_c0		blast	11.73	7.5
comp44932_c0	mrps2	blast	147.19	247.52
comp44937_c0	commd5	blast	130.66	624.42
comp44938_c0	popdc2	blast	7839.44	1505.73
comp44940_c0	RCSD1 (2 of 2)	blast	117.32	142.51
comp44942_c0	irak3	blast	18.13	35.63
comp44948_c0		blast	3159.77	2460.18
comp44948_c1		blast	469.83	639.42
comp44948_c2	RPS27L	blast	3405.09	4200.3
comp44951_c0		blast	16.0	18.75
comp44955_c0	qars	blast	284.25	671.3
comp44957_c0	shisa9	blast	78.39	22.5
comp44958_c0	TRAF3IP2	blast	10.67	1.88
comp44961_c0	ppp2r5ea	blast	214.38	208.14
comp44961_c1		blast	19.2	16.88
comp44963_c0	fktn	blast	129.59	150.01
comp44965_c0	slc51a	blast	10.67	16.88
comp44966_c0	FAM173A	blast	257.58	658.17
comp44967_c0	sepp1a	blast	14284.31	13945.37
comp44967_c1	txn2	blast	382.91	543.79
comp44967_c2		blast	141.32	181.89
comp44968_c0	vsg1	blast	77.33	165.01
comp44971_c1		blast	21.87	28.13
comp44972_c0	agpat3	blast	612.22	800.68
comp44972_c1		blast	30.4	18.75
comp44973_c0	wdr18	blast	50.66	97.51
comp44974_c0	rars	blast	980.73	2013.89
comp44978_c0	KLHDC3	blast	2225.97	1747.63
comp44985_c0	KRTCAP3	blast	13.33	20.63
comp44986_c0	krt4	blast	21748.84	12432.14
comp44987_c0		blast	8.53	13.13
comp44988_c0		blast	531.7	1168.21
comp44989_c0	zgc:101810	blast	123.19	56.25
comp44990_c0	FKBPL	blast	90.66	86.26
comp44992_c0	zgc:91944	blast	429.84	371.28
comp44995_c1	ANAPC15	blast	95.46	193.14
comp44996_c0		blast	9.6	7.5
comp44997_c0	pcca	blast	376.51	596.29
comp45000_c0		blast	136.52	174.39
comp45002_c0		blast	5423.08	12569.03
comp45004_c0	synm	blast	17603.0	1426.98
comp45005_c0	map4k5	blast	11.2	11.25
comp45007_c0		blast	1416.43	1835.76
comp45010_c0	IMPA2	blast	9.6	33.75
comp45015_c0	pold3	blast	118.39	118.13
comp45018_c0		blast	37.33	37.5
comp45018_c1		blast	24.0	11.25
comp45018_c3		blast	128.52	93.76
comp45019_c0		blast	0.0	48.75
comp45020_c1	cse1l	blast	215.45	168.76
comp45023_c0	hsp90ab1	blast	8426.06	7215.52
comp45023_c1		blast	632.49	768.81
comp45025_c1	DAGLA	blast	8.53	15.0
comp45028_c0	PMF1	blast	51.73	95.63
comp45039_c0	fxn	blast	52.26	101.26
comp45040_c0	ddx54	blast	361.04	311.27
comp45041_c0	cdnf	blast	21.87	495.04
comp45044_c0		blast	35490.79	28299.53
comp45045_c0		blast	9.6	9.38
comp45046_c0	irf7	blast	10.13	37.5
comp45048_c0		blast	17.07	18.75
comp45050_c0	IL1RL2	blast	9.07	18.75
comp45051_c0	cflar	blast	20.8	11.25
comp45057_c0	pigf	blast	125.86	91.88
comp45058_c0		blast	482.63	288.77
comp45058_c1	rps4x	blast	11911.15	14470.41
comp45059_c0	cd40	blast	270.91	450.03
comp45060_c0		blast	1431.9	1520.73
comp45060_c1		blast	5094.03	2762.07
comp45060_c2	pfn2l	blast	2260.1	1723.25
comp45061_c0		blast	4.8	35.63
comp45064_c0	ZC3H7B (2 of 3)	blast	17.07	30.0
comp45066_c0		blast	100.79	86.26
comp45066_c1		blast	14.4	15.0
comp45067_c0		blast	15.47	7.5
comp45068_c0		blast	8.53	9.38
comp45068_c1		blast	7750.91	8657.5
comp45069_c0	zgc:172271	blast	154.12	60.0
comp45070_c0	POR (1 of 2)	blast	495.96	736.93
comp45072_c0	rpl27	blast	5819.32	11273.31
comp45073_c0	lox	blast	485.3	159.39
comp45074_c0		blast	9.6	7.5
comp45075_c0	znf143b	blast	130.66	148.14
comp45077_c0	rpl14	blast	7840.5	11790.85
comp45079_c0	AK1	blast	3074.98	42754.94
comp45080_c0	ypel3	blast	106.66	97.51
comp45081_c0		blast	19.73	9.38
comp45081_c1		blast	11.73	7.5
comp45084_c0		blast	17.07	15.0
comp45084_c1	C20H1orf131	blast	124.26	131.26
comp45086_c0	mylz3	blast	90.13	868153.48
comp45086_c1	si:ch211-222n4.10	blast	165387.08	573.79
comp45088_c1	tnfsf13	blast	37.86	48.75
comp45090_c1	socs3b	blast	382.37	103.13
comp45091_c0	sec23a	blast	357.84	416.28
comp45094_c0		blast	27903.6	47975.31
comp45094_c1		blast	1383.9	1344.47
comp45094_c2		blast	6122.76	6733.61
comp45094_c3		blast	34872.17	29306.48
comp45098_c0	NUFIP2	blast	13.87	54.38
comp45099_c0	mrps11	blast	140.79	256.89
comp45100_c0	tnnt3b	blast	23622.84	659901.05
comp45103_c1	hook1	blast	35.73	11.25
comp45106_c2	adrb2b	blast	67.2	52.5
comp45108_c1	TSEN2	blast	96.53	161.26
comp45110_c0	bace2	blast	18.13	13.13
comp45111_c1		blast	11.2	24.38
comp45111_c4		blast	5.33	20.63
comp45112_c0	RNF144B	blast	241.05	3.75
comp45114_c0	ipo13	blast	268.25	56.25
comp45114_c1		blast	148.26	22.5
comp45115_c0	yy1a	blast	397.3	285.02
comp45117_c0	pold1	blast	46.93	43.13
comp45118_c1	elp6	blast	71.99	67.5
comp45119_c0	uba3	blast	296.51	611.29
comp45124_c0	tpi1b	blast	13230.52	160805.9
comp45126_c1		blast	0.53	105.01
comp45130_c0		blast	44.8	136.88
comp45139_c0		blast	20.27	350.65
comp45141_c1		blast	11.73	15.0
comp45144_c0		blast	34.66	15.0
comp45149_c0	cap1	blast	747.15	523.16
comp45151_c2	pitpnb	blast	212.25	346.9
comp45156_c0		blast	9776.37	17465.0
comp45159_c0	tmem205	blast	109.33	225.02
comp45160_c0	ralbp1	blast	284.78	350.65
comp45165_c0		blast	11.73	22.5
comp45167_c0	fam100b	blast	293.85	309.4
comp45168_c0	nr2c1	blast	109.86	135.01
comp45169_c0	ugdh	blast	619.16	821.31
comp45169_c1	rpl9	blast	6908.3	15089.21
comp45170_c0	stk36	blast	6.93	18.75
comp45174_c0	CCDC111	blast	9.6	16.88
comp45175_c0	RPS6	blast	7501.33	13465.34
comp45177_c0		blast	36.26	444.41
comp45181_c1	mnd1	blast	11.2	5.63
comp45182_c0	zfand3	blast	115.73	67.5
comp45183_c0	zgc:86764	blast	14.4	31.88
comp45184_c0	ABRA (2 of 3)	blast	20.27	63.75
comp45185_c0		blast	19.73	15.0
comp45185_c1		blast	64.53	106.88
comp45188_c0	gatad2ab	blast	498.1	157.51
comp45189_c0	zgc:152698	blast	10.13	7.5
comp45193_c0	gnb2l1	blast	8354.07	12591.53
comp45199_c0	FGF11 (2 of 2)	blast	40973.6	637.55
comp45201_c0		blast	188.79	195.01
comp45202_c0	pin1	blast	88.53	123.76
comp45202_c1		blast	93.33	73.13
comp45204_c0	b4galnt3b	blast	129.59	60.0
comp45204_c1		blast	142.39	45.0
comp45205_c0		blast	13.87	24.38
comp45206_c0	stau2	blast	221.85	545.66
comp45207_c0		blast	2.13	41.25
comp45210_c0	oxct1a	blast	1748.67	2345.79
comp45211_c0		blast	117.32	91.88
comp45212_c0	cetn2	blast	213.85	420.03
comp45214_c0		blast	9.6	11.25
comp45218_c0	sh2d3ca	blast	10.67	13.13
comp45220_c0		blast	8.53	9.38
comp45220_c1		blast	182.92	116.26
comp45220_c2	comtd1	blast	71.99	73.13
comp45221_c2	ARMC5	blast	13.87	11.25
comp45222_c0		blast	6.93	18.75
comp45234_c0	LZTS1	blast	30.93	3.75
comp45235_c0	ift140	blast	21.87	20.63
comp45240_c0		blast	177.05	56.25
comp45246_c0	eny2	blast	778.08	780.06
comp45247_c0		blast	104.53	101.26
comp45248_c0		blast	55.46	738.8
comp45248_c1	ndufa13	blast	745.55	1344.47
comp45248_c2	fxr2	blast	238.38	5979.8
comp45249_c0	gstt1b	blast	662.89	973.19
comp45250_c0	zgc:163023	blast	153.59	112.51
comp45251_c0		blast	6.4	41.25
comp45251_c1	APOL2	blast	103.99	521.29
comp45253_c0	SLC7A10 (2 of 2)	blast	9.6	7.5
comp45255_c0	hspb1	blast	341.84	11794.6
comp45256_c1		blast	17.6	16.88
comp45257_c0	ier5	blast	187.19	283.15
comp45260_c1		blast	12.27	399.4
comp45262_c0	rassf9	blast	10.67	24.38
comp45262_c1		blast	19.2	18.75
comp45263_c4		blast	22.93	24.38
comp45264_c0	phkg1b	blast	3450.95	6144.82
comp45265_c1	CU302326.3	blast	10.13	86.26
comp45265_c3		blast	15.47	86.26
comp45267_c0		blast	99.73	63.75
comp45269_c0	TUSC3	blast	7.47	16.88
comp45271_c0	htr6	blast	828.21	1355.72
comp45272_c0	CDKN2AIP	blast	235.72	159.39
comp45273_c0		blast	1051.66	712.55
comp45274_c0		blast	13.33	13.13
comp45275_c0		blast	67.73	75.01
comp45275_c2	ndor1	blast	104.53	221.27
comp45276_c0		blast	14.4	28.13
comp45278_c0	C12H10orf118	blast	175.99	219.39
comp45278_c1		blast	86.93	63.75
comp45279_c0	hectd3	blast	332.78	290.65
comp45282_c1		blast	375.44	30.0
comp45287_c0	vps33a	blast	151.99	52.5
comp45288_c0	kirrela	blast	162.12	236.27
comp45290_c0	pycard	blast	120.52	37.5
comp45292_c0	ing2	blast	20.8	16.88
comp45297_c0	dpm3	blast	68.26	52.5
comp45298_c0		blast	2390.76	4648.46
comp45299_c0	ndufs5	blast	259.18	367.53
comp45302_c0		blast	13.87	3.75
comp45303_c0		blast	12.27	0.0
comp45303_c2		blast	20.27	11.25
comp45304_c0	rcl1	blast	264.51	260.64
comp45305_c0	cgnb	blast	16.0	3.75
comp45306_c0	atf4b2	blast	2849.4	5599.15
comp45308_c0	stat1b	blast	2552.88	8006.82
comp45308_c1		blast	10.67	13.13
comp45310_c0		blast	130.12	163.14
comp45310_c1	abhd14a	blast	105.06	150.01
comp45314_c0		blast	61.33	63.75
comp45314_c1	snx3	blast	476.77	423.78
comp45315_c0	bcan	blast	141.86	129.38
comp45319_c0		blast	16.53	18.75
comp45319_c1		blast	13.87	3.75
comp45323_c1	RNF5	blast	28.26	41.25
comp45324_c0	spon2b	blast	463.97	783.81
comp45326_c1	ASB5 (2 of 2)	blast	27.2	163.14
comp45327_c0		blast	750.88	763.18
comp45328_c0		blast	25.06	1.88
comp45328_c1		blast	20.27	3.75
comp45330_c0	hdac8	blast	2980.05	4451.57
comp45334_c0	gadd45ab	blast	177.05	176.26
comp45336_c0		blast	133.86	110.63
comp45340_c0		blast	34.13	22.5
comp45342_c0		blast	1471.89	6816.11
comp45344_c0	amd1	blast	149.86	363.78
comp45345_c0	ppap2b	blast	5047.64	1912.64
comp45348_c0		blast	11.2	1.88
comp45348_c2	foxl1	blast	46.93	0.0
comp45350_c0	mvp	blast	3168.31	562.54
comp45357_c0	atp5h	blast	1429.23	2555.81
comp45358_c0	cdc25	blast	67.73	161.26
comp45358_c1		blast	9.07	18.75
comp45362_c0		blast	19.73	45.0
comp45362_c1		blast	18.13	41.25
comp45366_c0		blast	2140.11	1263.84
comp45369_c0	pgls	blast	127.46	35.63
comp45371_c0	uqcrc2b	blast	2031.32	3354.62
comp453719_c0		blast	11.73	7.5
comp45374_c0	capn1a	blast	5556.4	1803.88
comp45377_c1		blast	11.2	45.0
comp45382_c0		blast	1072.99	1258.22
comp45385_c0	serinc5	blast	81.59	84.38
comp45388_c1		blast	0.53	52.5
comp45391_c0	krt8	blast	1709.74	2124.53
comp45391_c1		blast	2270.24	2058.9
comp45391_c2		blast	127.46	121.88
comp45396_c0	CABZ01018247.1	blast	345.58	453.78
comp45400_c1		blast	17.07	0.0
comp45401_c0		blast	3466.42	1254.46
comp45403_c0		blast	93.33	48.75
comp45403_c1		blast	955.13	390.03
comp45403_c2		blast	52.8	28.13
comp45403_c3		blast	16.0	1.88
comp45406_c0	LGALS3 (2 of 3)	blast	283.71	93.76
comp45406_c1		blast	700.75	148.14
comp45407_c0	rpl36	blast	4635.4	7967.45
comp45412_c0	desmb	blast	1.6	1453.23
comp45412_c1		blast	1.07	183.76
comp45413_c0		blast	1082.59	605.67
comp45414_c0		blast	78.39	84.38
comp45414_c1		blast	14.4	18.75
comp45414_c2		blast	43.73	46.88
comp45414_c3		blast	30.93	31.88
comp45414_c4		blast	14.93	11.25
comp45420_c0		blast	58.66	116.26
comp45420_c1		blast	34.66	88.13
comp45421_c0		blast	93.33	56.25
comp45422_c1	mkxa	blast	10.67	11.25
comp45428_c0		blast	17.6	0.0
comp45431_c0		blast	11.73	46.88
comp45433_c0	uqcrc1	blast	2173.18	3819.65
comp45435_c0	FAM195A	blast	74.66	54.38
comp45438_c0	si:dkey-153k10.9	blast	6563.26	131.26
comp45439_c0		blast	2295.3	652.55
comp45441_c0	ccnb3	blast	11.73	20.63
comp45442_c0		blast	51.73	24.38
comp45449_c0	macf1	blast	23.46	18.75
comp45450_c0	chmp1a	blast	390.91	528.79
comp45450_c1	ctdsp2	blast	103.99	78.76
comp45451_c0		blast	50.13	80.63
comp45452_c1		blast	307.18	217.52
comp45452_c2		blast	14.4	1.88
comp45457_c0		blast	28.26	15.0
comp45461_c1		blast	38.93	195.01
comp45462_c0	nkd1	blast	109.86	16.88
comp45462_c1	si:ch211-197g15.9	blast	460.77	2775.2
comp45462_c2		blast	198.39	26.25
comp45471_c0		blast	10.13	7.5
comp45471_c2	stm	blast	5.33	69.38
comp45474_c0	FP245543.2	blast	371.17	648.8
comp45475_c0	si:ch211-51a6.2	blast	32.53	15.0
comp45476_c0	fhl	blast	229.85	785.68
comp45478_c0	zfand2a	blast	306.11	213.77
comp45482_c1	gstm	blast	481.57	615.04
comp45484_c0	vps37a	blast	216.52	281.27
comp45485_c2		blast	40.53	41.25
comp45486_c0	MRPL2	blast	210.65	286.9
comp45489_c0	smx5	blast	213.85	195.01
comp45490_c1	INCENP	blast	20.8	33.75
comp45491_c0	wibg	blast	120.52	116.26
comp45492_c0	anapc2	blast	165.32	121.88
comp45493_c0		blast	5.87	33.75
comp45494_c0	suv420h1	blast	16.0	18.75
comp45497_c0		blast	11.73	0.0
comp45497_c1		blast	10.67	1.88
comp45498_c0	SDHAF1	blast	36.26	91.88
comp45500_c0	DUSP8 (2 of 2)	blast	1626.55	354.4
comp45502_c0	si:dkey-238o13.4	blast	321.04	1.88
comp45503_c0		blast	16.53	16.88
comp45507_c0		blast	132.79	39.38
comp45507_c1	atp6ap2	blast	268.78	161.26
comp45510_c0	npepl1	blast	157.86	378.78
comp45511_c0		blast	212.78	125.63
comp45513_c0	tufm	blast	358.37	365.65
comp45514_c0		blast	8.53	76.88
comp45514_c1		blast	2.67	43.13
comp45516_c0		blast	422.37	525.04
comp45517_c0		blast	16.53	3.75
comp45520_c0		blast	11.2	15.0
comp45521_c1	mrm1	blast	69.86	127.51
comp45522_c0		blast	4.27	35.63
comp45528_c0	FBXL3 (1 of 2)	blast	225.05	138.76
comp45529_c2	cdipt	blast	58.13	39.38
comp45535_c0	rereb	blast	5024.17	607.54
comp45535_c1	CR450814.3	blast	220.78	750.05
comp45536_c0		blast	10.13	35.63
comp45536_c3		blast	8.53	16.88
comp45537_c0		blast	250.65	181.89
comp45537_c1	ncoa3	blast	144.52	189.39
comp45538_c1		blast	9.07	11.25
comp45541_c0	gatsl2	blast	66.66	88.13
comp45543_c0	TIMM21	blast	91.73	150.01
comp45546_c0	mrps27	blast	251.72	330.02
comp45549_c0	tmem70	blast	41.06	99.38
comp45550_c0	glod4	blast	302.38	333.77
comp45551_c0		blast	17.6	0.0
comp45554_c0	rhag	blast	81.06	120.01
comp45554_c1		blast	56.53	80.63
comp45555_c0	C13H6orf203	blast	258.11	153.76
comp45556_c0		blast	291.71	474.41
comp45558_c0		blast	1.07	7131.14
comp45560_c1		blast	142.39	18.75
comp45562_c0	hopx	blast	30.4	236.27
comp45564_c1		blast	29.33	9.38
comp45565_c0		blast	20.8	24.38
comp45569_c1	NDFIP2	blast	57.06	215.64
comp45576_c0		blast	11.2	5.63
comp45576_c1	LLPH	blast	420.24	401.28
