group_ID	annotation	annotation_type	EO	SM
comp22182_c0		blast	24.0	146.26
comp22185_c0		blast	19.2	15.0
comp22186_c0		blast	20.8	97.51
comp221878_c0		blast	8.53	9.38
comp22219_c0	SASH3	blast	33.06	41.25
comp22221_c0	dhrs11a	blast	12.8	30.0
comp222232_c0		blast	13.87	16.88
comp22241_c0		blast	14.93	30.0
comp22247_c0		blast	13.87	5.63
comp22261_c0		blast	10.13	13.13
comp22296_c1		blast	17.07	16.88
comp22306_c0		blast	7.47	13.13
comp22313_c0		blast	16.53	5.63
comp22318_c1	nmnat2	blast	13.33	5.63
comp22320_c0		blast	22.93	3.75
comp22326_c0	tmem51b	blast	21.87	16.88
comp22327_c0		blast	21.33	20.63
comp22339_c0		blast	9.6	16.88
comp22344_c0	SMARCA4	blast	6.4	16.88
comp22345_c0		blast	17.07	13.13
comp22354_c1		blast	8.53	13.13
comp22356_c0		blast	20.27	16.88
comp223582_c0		blast	18.13	1.88
comp22368_c0		blast	11.73	1.88
comp22379_c0	btk	blast	32.53	39.38
comp22383_c0		blast	16.53	31.88
comp22392_c0		blast	9.6	26.25
comp22402_c0	FAM179B	blast	9.07	11.25
comp22408_c0	sirt7	blast	14.4	24.38
comp22408_c1		blast	28.26	20.63
comp22413_c0	bag4	blast	25.06	20.63
comp22423_c0	sertad2b	blast	13.87	22.5
comp22433_c0	serpina10a	blast	13.33	5.63
comp22436_c0	otud7b	blast	4.8	22.5
comp22440_c0	spc24	blast	13.33	15.0
comp22442_c0		blast	8.0	15.0
comp224667_c0		blast	12.8	15.0
comp22475_c0		blast	6.93	15.0
comp22476_c0		blast	10.13	7.5
comp224830_c0	hdhd3	blast	10.13	46.88
comp22513_c0	arl4cb	blast	29.86	45.0
comp225451_c0	sdcbp	blast	42.13	0.0
comp225532_c0		blast	19.2	5.63
comp22574_c0	CR391937.2	blast	16.0	103.13
comp22584_c0		blast	14.93	11.25
comp22586_c0		blast	19.73	60.0
comp22594_c0		blast	14.4	13.13
comp22602_c0		blast	19.73	3.75
comp22606_c0	LGALS8 (1 of 2)	blast	12.8	1.88
comp22615_c0		blast	15.47	11.25
comp22618_c0		blast	17.6	0.0
comp22619_c0	rbm15b	blast	51.73	24.38
comp22625_c0	pdyn	blast	18.13	0.0
comp22627_c0		blast	10.13	5.63
comp226277_c0		blast	13.33	13.13
comp22648_c0	abcb8	blast	36.8	43.13
comp226769_c0		blast	0.53	61.88
comp22681_c0		blast	25.6	41.25
comp22696_c0	hoxd11a	blast	3.2	206.26
comp22717_c0		blast	20.27	1.88
comp22718_c0	lyve1b	blast	17.6	93.76
comp22742_c0	ripk4	blast	22.4	3.75
comp22751_c0	adat2	blast	24.53	45.0
comp22774_c0		blast	27.73	46.88
comp22778_c0	cntn1b	blast	33.6	5.63
comp22779_c0		blast	0.0	52.5
comp22788_c0		blast	19.2	28.13
comp22790_c0		blast	26.66	0.0
comp22802_c0		blast	22.93	26.25
comp22807_c0		blast	15.47	15.0
comp22813_c0		blast	14.4	1.88
comp22818_c0	eya3	blast	10.13	30.0
comp22828_c0		blast	12.27	0.0
comp22835_c0		blast	11.73	16.88
comp22842_c0		blast	22.4	35.63
comp22860_c0		blast	15.47	5.63
comp22864_c0		blast	11.73	9.38
comp22865_c0		blast	17.07	7.5
comp228653_c0		blast	18.13	9.38
comp22878_c0		blast	13.33	11.25
comp22903_c0	zgc:152658	blast	33.6	90.01
comp22917_c0		blast	11.2	9.38
comp22920_c0	si:ch211-11k18.4	blast	47.46	52.5
comp22945_c0		blast	18.67	24.38
comp22970_c0	dak	blast	32.53	31.88
comp22976_c0	itm2cb	blast	8.0	78.76
comp22977_c1	SSTR2 (2 of 2)	blast	0.53	180.01
comp22978_c0		blast	10.13	16.88
comp22979_c0		blast	8.0	11.25
comp22985_c0	SPATA5L1	blast	27.73	56.25
comp229852_c0	CXCL11 (3 of 4)	blast	9.07	37.5
comp22990_c0		blast	17.6	5.63
comp22993_c0		blast	14.4	18.75
comp22998_c0		blast	22.4	15.0
comp23020_c0		blast	6.93	31.88
comp23050_c0	sla1	blast	20.8	26.25
comp23057_c0		blast	13.33	30.0
comp23085_c0		blast	10.13	16.88
comp23112_c0	TBC1D14	blast	18.13	11.25
comp23146_c0		blast	10.13	22.5
comp23166_c0		blast	4.8	28.13
comp23190_c0		blast	10.67	16.88
comp23203_c0		blast	3.73	26.25
comp23245_c0	MSANTD2	blast	17.07	31.88
comp23261_c0		blast	4.27	35.63
comp23272_c0		blast	9.07	43.13
